Botanical correlations,Status of correlation,Discussions on its identity by experts with reference,S. No,English,Sanskrit,Diacritical
Trewia mudiflora,Suggested source,Gambhari has a synonym Shriparni; there is no controversy regarding Gambhari but there is another species (Trewia nudiflora) used as Shriparni in Haridwar,333,Gambhari,गम्भारी,gambhārī
Alternanthera sessilis,Accepted source,Gandadurva is identified with this species,334,Gandadurva,गण्ड दूर्वा,gaṇḍa dūrvā
Picrorhiza kurroa,Controversial,Gandadurva is not found in the Brhatrayi but was mentioned later on; There were various synonyms given to it and one among them was Sakuladani which is Katurohini and correlated to this species,334,Gandadurva,गण्ड दूर्वा,gaṇḍa dūrvā
Luvunga scandens.,Accepted source,Gandhakokila has been mentioned in Bhavaprakasa among the gandha dravyas (fragrant drugs); The dry fruits of 'Lavangalata' are called 'Kaakli' or 'Kokila' in Bengal; These were used to give fragrance to oils; This same drug was interpreted as 'Gandhakokila' by Bhavamisra; Its identified with this species,335,Gandhakokila,गन्ध कोकिला,gandha kokilā
Oryza sativa Linn.,Accepted source,Identified with it,1080,Sali,शालि,śāli
Oryza sativa Linn.,Accepted source,Identified with it,1080,Sali,शालि,śāli
Oryza sativa Linn.,Accepted source,Identified with it,1080,Sali,शालि,śāli
Oryza sativa Linn.,Accepted source,Identified with it,1080,Sali,शालि,śāli
Oryza sativa Linn.,Accepted source,Identified with it,1080,Sali,शालि,śāli
Oryza sativa Linn.,Accepted source,Identified with it,1080,Sali,शालि,śāli
Oryza sativa Linn.,Accepted source,Identified with it,1080,Sali,शालि,śāli
Oryza sativa Linn.,Accepted source,Identified with it,1117,Sastika,षष्टिक,ṣaṣṭika
Oryza sativa Linn.,Accepted source,Identified with it,1117,Sastika,षष्टिक,ṣaṣṭika
Oryza sativa Linn.,Accepted source,Identified with it,1117,Sastika,षष्टिक,ṣaṣṭika
Oryza sativa Linn.,Accepted source,Identified with it,1117,Sastika,षष्टिक,ṣaṣṭika
Oryza sativa Linn.,Accepted source,Identified with it,1117,Sastika,षष्टिक,ṣaṣṭika
Oryza sativa Linn.,Accepted source,Identified with it,1117,Sastika,षष्टिक,ṣaṣṭika
Oryza sativa Linn.,Accepted source,Identified with it,1117,Sastika,षष्टिक,ṣaṣṭika
Oryza sativa Linn.,Accepted source,Identified with it,1388,Vrihi,व्रीही,vrīhī
Oryza sativa Linn.,Accepted source,Identified with it,1388,Vrihi,व्रीही,vrīhī
Oryza sativa Linn.,Accepted source,Identified with it,1388,Vrihi,व्रीही,vrīhī
Oryza sativa Linn.,Accepted source,Identified with it,1388,Vrihi,व्रीही,vrīhī
Oryza sativa Linn.,Accepted source,Identified with it,1388,Vrihi,व्रीही,vrīhī
Oryza sativa Linn.,Accepted source,Identified with it,1388,Vrihi,व्रीही,vrīhī
Oryza sativa Linn.,Accepted source,Identified with it,1388,Vrihi,व्रीही,vrīhī
Oryza sativa Linn. var.,Accepted source,"identified with it, VARIETY ?",520,Kalama,कलम,kalama
Oryza sativa Linn. var.,Accepted source,"identified with it, VARIETY ?",520,Kalama,कलम,kalama
Oryza sativa Linn. var.,Accepted source,"identified with it, VARIETY ?",520,Kalama,कलम,kalama
Oryza sativa Linn. var.,Accepted source,"identified with it, VARIETY ?",520,Kalama,कलम,kalama
Oryza sativa Linn. var.,Accepted source,"identified with it, VARIETY ?",520,Kalama,कलम,kalama
Oryza sativa Linn. var.,Accepted source,"identified with it, VARIETY ?",520,Kalama,कलम,kalama
Oryza sativa Linn. var.,Accepted source,"identified with it, VARIETY ?",520,Kalama,कलम,kalama
Rice var.,Suggested source,Is a variety of rice,632,Kedara,केदार,kedāra
Rice var.,Suggested source,Is a variety of rice,632,Kedara,केदार,kedāra
Rice var.,Suggested source,Is a variety of rice,632,Kedara,केदार,kedāra
Rice var.,Suggested source,Is a variety of rice,632,Kedara,केदार,kedāra
Rice var.,Suggested source,Is a variety of rice,632,Kedara,केदार,kedāra
Rice var.,Suggested source,Is a variety of rice,632,Kedara,केदार,kedāra
Rice var.,Suggested source,Is a variety of rice,632,Kedara,केदार,kedāra
Rice var.,Suggested source,Is a variety of rice,722,Kusumandaka,कूष्माण्डक,kūṣmāṇḍaka
Rice var.,Suggested source,Is a variety of rice,722,Kusumandaka,कूष्माण्डक,kūṣmāṇḍaka
Rice var.,Suggested source,Is a variety of rice,722,Kusumandaka,कूष्माण्डक,kūṣmāṇḍaka
Rice var.,Suggested source,Is a variety of rice,722,Kusumandaka,कूष्माण्डक,kūṣmāṇḍaka
Rice var.,Suggested source,Is a variety of rice,722,Kusumandaka,कूष्माण्डक,kūṣmāṇḍaka
Rice var.,Suggested source,Is a variety of rice,722,Kusumandaka,कूष्माण्डक,kūṣmāṇḍaka
Rice var.,Suggested source,Is a variety of rice,722,Kusumandaka,कूष्माण्डक,kūṣmāṇḍaka
Rice variety,Suggested source,Is an inferior variety of rice,336,Gandhala,गन्धल,gandhala
Rice variety,Suggested source,Is an inferior variety of rice,336,Gandhala,गन्धल,gandhala
Rice variety,Suggested source,Is an inferior variety of rice,336,Gandhala,गन्धल,gandhala
Rice variety,Suggested source,Is an inferior variety of rice,336,Gandhala,गन्धल,gandhala
Rice variety,Suggested source,Is an inferior variety of rice,336,Gandhala,गन्धल,gandhala
Rice variety,Suggested source,Is an inferior variety of rice,336,Gandhala,गन्धल,gandhala
Rice variety,Suggested source,Is an inferior variety of rice,336,Gandhala,गन्धल,gandhala
Myrtus communis Linn.,Accepted source,Gandhamalati' has been cited in Bhavaprakasa nighantu; Its identified with this species,337,Gandhamalati,गन्धमालती,gandhamālatī
Aristolochia indica,Accepted source,It is identified with this species,338,Gandhanakuli,गन्धनाकुली,gandhanākulī
Aristolochia indica Linn.,Accepted source,Gandhanakuli' is identified with this species,338,Gandhanakuli,गन्धनाकुली,gandhanākulī
Aristolochia indica Linn.,Suggested source,Aristolochia is suggested to be used as this plant,338,Gandhanakuli,गन्धनाकुली,gandhanākulī
Aristolochia sp.,Most probable,May be identified with this species,338,Gandhanakuli,गन्धनाकुली,gandhanākulī
Corallocarpus sp.,Most probable,May be identified with this species,338,Gandhanakuli,गन्धनाकुली,gandhanākulī
Crinum defixum Kar.-Gawl.,Most probable,May be identified with this species,338,Gandhanakuli,गन्धनाकुली,gandhanākulī
Paederia foetida Linn.,Accepted source,It is identified with this species,339,Gandhaprasarini,गन्धप्रसारणी,gandhaprasāraṇī
Paederia foetida Linn.,Accepted source,Its identified with this species,339,Gandhaprasarini,गन्धप्रसारणी,gandhaprasāraṇī
Porana paniculata Roxb.,Accepted source,This species is taken into consideration with regard to its features resembling the plant.,340,Gandhapriyangu,गन्धप्रियङ्गु,gandhapriyaṅgu
Prunus mahaleb Linn.,Accepted source,Gandhapriyangu is correlated to this species,340,Gandhapriyangu,गन्धप्रियङ्गु,gandhapriyaṅgu
Albizzia julibrissin Durazz.,Controversial,Based on the description by Dalhana it is correlated to this species,341,Gandira,गण्डीर,gaṇḍīra
Coleus barbatus,Accepted source,Gandira is identified with this species,341,Gandira,गण्डीर,gaṇḍīra
Dalbergia sericea G. Don.,Controversial,Based on the description by Dalhana it is correlated to this species,341,Gandira,गण्डीर,gaṇḍīra
Euphorbia species,Suggested source,One of the author has identifed Gandira with Snuhi which is correlated to this species,341,Gandira,गण्डीर,gaṇḍīra
Amaranthus mangostanus,Accepted source,Gandira jalaja is identified with this species,342,Gandira - jalaja,गण्डीर जलज,gaṇḍīra jalaja
Amaranthus viridis Linn.,Accepted source,Jalaja Gandira is identified with this species,342,Gandira - jalaja,गण्डीर जलज,gaṇḍīra jalaja
Ranunculus sceleratus Linn.,Accepted source,It is identified with this species,342,Gandira - jalaja,गण्डीर जलज,gaṇḍīra jalaja
Coleus barbatus,Accepted source,Gandira is identified with this species,343,Gandira - sthalaja,गण्डीर स्थलज,gaṇḍīra sthalaja
Coleus barbatus,Accepted source,Gandira is identified with this species,343,Gandira - sthalaja,गण्डीर स्थलज,gaṇḍīra sthalaja
Hyptis sp.,Accepted source,Gangapatri' has been described in Raja nighantu; With regard to its synonyms it can be specified to be a plant with fragrant leaves; Its identified with this species which is popularly known as 'Gangatulasi',344,Gangapatri,गंगापत्री,gaṃgāpatrī
Sida spinosa Linn.,Most probable,Gangati' has been cited in Sodala nighantu; It is popularly known as 'Gangeti' and most probably identified with this species,345,Gangati,गङ्गाटी,gaṅgāṭī
Grewia tenax (Forsk.) Aschers. & Schwf.,Accepted source,Gangeruki is correlated to this species,346,Gangeruki,गाङ्गेरुकी,gāṅgerukī
Grewia tenax (Forsk.)Aschers & Schwf.,Accepted source,Gangeruki has been mentioned under the 'Phala varga' (group of fruits) in both Susruta and Caraka samhita; Dalhana and Cakrapani in their commentaries have identified it with 'Nagabala'; Even in the nighantus it has been mentioned as the synonym of Nagabala; Its identified with this species,346,Gangeruki,गाङ्गेरुकी,gāṅgerukī
Pterospermum canescens,Most probable,Ganikari' has been cited in Raja nighantu and Dhanvantari nighantu; With regard to its synonyms it can be interpreted to be a fragrant flower and most probably identified with this species,347,Ganikari,गणिकारी,gaṇikārī
Daucas carota Var. sativa Linn.,Accepted source,It is identified with this species,348,Garjara,गर्जर,garjara
Coix gigantea Koenig ex Roxb.,Accepted source,Identified with this species,349,Garmotika,गरमोटिका,garamoṭikā
Coix lachryma-jobi Linn.,Accepted source,Identified with it,350,Gavedhuka,गवेधुक,gavedhuka
Coix lacryma-jobi Linn.,Accepted source,Identified with this species,350,Gavedhuka,गवेधुक,gavedhuka
Crotalaria sp.,Suggested source,Mentioned in Sodala nighantu; Vaidya Bapalal has considered this as 'Ghantarava' which is correlated to this species,351,Ghantavali,घण्टावली,ghaṇṭāvalī
Portulaca sp.,Accepted source,Gholi is a variety of 'Lonika' and identified with this species,352,Gholi,घोली,gholī
Zizyphus xylopyra Willd.,Accepted source,Identified with it,353,Ghonta,घोण्टा,ghoṇṭā
Ceropegia hirsuta W. and A.,Suggested source 2,Identified with it,354,Gilodya,गिलोड्य,giloḍya
Ceropegia tuberosa Roxb.,Suggested source 1,Identified with it,354,Gilodya,गिलोड्य,giloḍya
Triumfetta rotundifolia Lam.,Accepted source,Gippita' has been mentioned in Sodala nighantu; According to Vaidya Bapalal it is interpreted as 'Jhinjhirita' which is identified with this species,355,Gippita,गिप्पिट,gippiṭa
Mytragyna parviflora Korth.,Accepted source,Identified with it,356,Girikadamba,गिरिकदम्ब,girikadamba
Mytragyna parviflora Korth.,Accepted source,Identified with it,356,Girikadamba,गिरिकदम्ब,girikadamba
Clitoria ternatea Linn.,Accepted source,Identified with it,357,Girikarni,गिरिकर्णी,girikarṇī
